﹟,Glide ﹟,Start Date,End Date,Country,Area (km²),Source,Main Cause,Fatalities,Displaced,Severity,Flood impact index
4158,,7/7/14,7/14/14,Sudan,"137,141",News,Heavy rain,0,42400,1.5,6.2
4157,,7/5/14,7/14/14,New Zealand,"8,581",News,Heavy rain,0,0,1,4.9
4163,,7/3/14,7/29/14,"Brazil,Uruguay","44,866",News,Heavy rain,10,50000,2,6.4
4162,,7/1/14,7/14/14,Nepal,"11,579",News,Torrential rain,16,2400,1.5,5.4
4154,,6/23/14,6/25/14,India,"49,221",News,Monsoonal Ran,0,10000,1,5.2
4151,,6/19/14,6/25/14,Bulgaria,"24,415",News,Torrential rain,12,2000,2,5.5
4153,,6/17/14,6/25/14,Philippines,"15,356",News,Heavy rain,0,35000,1,5.1
4152,,6/10/14,7/14/14,United States of America,"418,317",News,Heavy rain,0,600,2,7.5
4155,,6/5/14,6/25/14,China,"377,102",News,Monsoonal Rain,14,337000,1,6.9
4145,FL-2014-000070-LKA,6/4/14,6/10/14,Sri Lanka,"10,337",News,Tropical Storm Boris,5,16000,1.5,5
4149,,6/4/14,6/10/14,Russian Federation,"1,829,701",News,Torrential rain,70,3000,1.5,7.3
4144,,6/3/14,6/10/14,Afghanistan,"44,204",News,Heavy rain,0,300,1.5,5.7
4150,,6/3/14,7/14/14,"Paraguay,Brazil","554,605",News,Heay Rain,9,265000,2,7.7
4147,,6/1/14,6/10/14,Iran (Islamic Republic of),"305,525",News,Monsoonal Rain,37,440000,1.5,6.7
4148,TC-2014-000071-MEX,6/1/14,6/10/14,"Mexico,Guatemala","113,685",News,Monsoonal Rain,22,25000,1.5,6.2
4146,,5/30/14,6/10/14,China,"45,994",News,Heavy rain,6,500,1,5.7
4159,,5/22/14,7/29/14,Brazil,"256,565",News,Heavy rain,0,0,2,7.5
4139,,5/12/14,5/16/14,"Serbia,Bosnia and Herzegovina","115,748",News,Heavy rain,3,4000,2,6.1
4143,FL-2014-000062-CHN,5/12/14,5/16/14,China,"205,001",News,Heavy rain,1,10000,2,6.3
4140,,5/10/14,5/16/14,United Republic of Tanzania,"22,249",News,Heavy rain,0,22000,1,5.2
4142,FL-2014-000063-TJK,5/10/14,5/16/14,Tajikistan,"41,719",News,Heavy rain,0,425,1.5,5.6
4141,,5/2/14,5/10/14,Italy,"11,256",News,Torrential rain,2,250,1.5,5.2
4135,,4/30/14,5/1/14,United States of America,"260,470",News,Torrential rain,1,200,2,6
4136,FF-2014-000060-AFG,4/20/14,5/16/14,Afghanistan,"83,722",News,Torrential rain,123,6000,1.5,6.5
4137,,4/18/14,5/1/14,United Republic of Tanzania,"18,498",News,Torrential rain,41,0,1.5,5.6
4138,FF-2014-000059-SRB,4/17/14,5/1/14,"Romania,Bulgaria","87,431",News,Torrential rain,0,640,1.5,6.3
4132,FL-2014-000045-SLB,4/1/14,4/8/14,Solomon Islands,"5,481",News,Heavy rain,23,10000,2,4.9
4133,,4/1/14,4/8/14,Argentina,"69,877",News,Heavy rain,0,2000,1.5,5.9
4134,,4/1/14,4/8/14,United States of America,"82,419",News,,2,300,1.5,6
4129,,3/25/14,3/30/14,United States of America,"53,221",News,Heavy rain,0,200,1.5,5.7
4130,,3/24/14,3/30/14,Australia,"250,162",News,Torrential rain,1,0,1.5,6.4
4124,SS-2014-000032-MHL,3/3/14,3/10/14,Micronesia (Federated States of),35,News,,0,900,1.5,2.6
4125,,3/3/14,3/10/14,New Zealand,"1,016",News,Heavy rain,0,80,2,4.2
4131,FL-2014-000038-ZAF,3/1/14,3/30/14,"South Africa,Namibia","1,037,639",News,Heavy rain,37,3528,1.5,7.7
4127,FL-2014-000030-PRY,2/25/14,3/10/14,Paraguay,"6,830",News,Heavy rain,0,2000,1,5
4123,,2/24/14,3/10/14,Mozambique,"481,908",News,Heavy rain,4,20000,1,6.9
4126,,2/19/14,3/10/14,Burundi,"3,237",News,Torrential rain,69,20000,2,5.1
4120,,2/2/14,2/7/14,Australia,"426,980",News,Tropical Storm Fletcher,0,0,1,6.4
4128,,2/1/14,3/30/14,Zimbabwe,"17,206",News,Dam/Levy break or release,0,4000,1,6
4122,,1/20/14,2/7/14,"France,Italy","82,989",News,Heavy rain,4,1000,1.5,6.4
4118,,1/15/14,2/7/14,Zimbabwe,"142,586",News,Heavy rain,0,0,1.5,6.7
4119,,1/15/14,2/7/14,Zimbabwe,"72,462",News,Heavy rain,0,4000,1.5,6.4
4117,FL-2014-000008-BOL,1/10/14,5/1/14,Bolivia (Plurinational State of),"381,577",News,Heavy rain,60,84000,2,7.9
4121,,1/8/14,2/7/14,Indonesia,"35,769",News,Heavy rain,23,20000,1.5,6.2
4116,,1/1/14,1/4/14,Peru,"74,145",News,Heavy rain,0,300,1,5.5
4112,,12/29/13,1/4/14,Indonesia,"22,525",News,Heavy rain,0,4500,1,5.2
4111,,12/27/13,2/7/14,"United Kingdom of Great Britain and Northern Ireland,Ireland","126,150",News,Heavy rain,0,200,1.5,6.9
4114,FL-2013-000159-LCA,12/26/13,1/4/14,"Saint Vincent and the Grenadines,Saint Lucia",830,News,Heavy rain,11,0,1,3.9
4113,FL-2013-000157-BRA,12/23/13,1/4/14,Brazil,"314,285",News,Heavy rain,45,60000,2,6.9
4115,,12/22/13,1/4/14,United States of America,"16,070",News,Heavy rain,5,0,1,5.4
4106,,12/5/13,12/8/13,"United Kingdom of Great Britain and Northern Ireland,Germany","51,280",News,Storm Surge,8,4000,2,5.6
4107,FL-2013-000148-MYS,12/1/13,12/8/13,Malaysia,"106,698",News,Monsoonal Rain,1,19000,1.5,6.1
4109,,12/1/13,12/8/13,Cuba,"7,627",News,Torrential rain,2,227,1,4.8
4110,FL-2013-000149-THA,11/20/13,12/8/13,Thailand,"38,677",News,Monsoonal Rain,23,15254,1.5,6
4102,,11/18/13,11/19/13,Italy,"15,700",News,Torrential rain,18,2700,2,4.8
4104,,11/18/13,11/19/13,Saudi Arabia,"361,387",News,Torrential rain,15,121,1.5,6
4103,,11/14/13,11/19/13,Viet Nam,"48,985",News,Heavy rain,41,80000,1.5,5.6
4100,,11/8/13,11/19/13,Philippines,"32,477",News,Tropical Storm Haiyan/Yolanda,2000,200000,2,5.9
4105,FL-2013-000141-SOM,11/8/13,11/19/13,Oman,"181,848",News,Tropical Storm,100,0,1.5,6.5
4099,,11/3/13,11/19/13,South Sudan,"111,000",News,Heavy rain,0,100,1,6.3
4108,,11/3/13,12/8/13,Niger,"65,791",News,Heavy rain,0,1000,1,6.4
4101,,10/31/13,11/10/13,United States of America,"38,936",News,Torrential rain,4,4800,2,5.9
4091,,10/12/13,10/14/13,India,"246,385",News,Tropical Storm Phailin,27,250000,2,6.2
4093,,10/12/13,10/14/13,Philippines,"54,531",News,Tropical Storm Nari,13,2500,2,5.5
4098,,10/12/13,11/10/13,India,"102,661",News,Heavy rain,7,0,1.5,6.7
4097,,10/11/13,10/14/13,Peru,"253,521",News,Heavy rain,0,1100,1.5,6.2
4094,,10/8/13,10/14/13,South Sudan,"172,574",News,Heavy rain,0,3300,1,6.1
4095,,10/8/13,10/14/13,China,"41,577",News,Tropical Storm Fitow,6,176900,1.5,5.6
4096,,10/7/13,10/14/13,Indonesia,"31,024",News,Torrential rain,0,16000,1.5,5.6
4092,,9/30/13,10/14/13,Thailand,"312,091",News,Monsoonal Rain,42,982799,1.5,6.8
4090,,9/27/13,10/14/13,Cambodia,"52,283",News,Monsoonal Rain,122,60000,1.5,6.1
4089,,9/12/13,9/20/13,United States of America,"100,404",News,,10,11000,2,6.3
4087,,9/11/13,9/16/13,Romania,"7,172",News,Torrential rain,8,2100,2,4.9
4088,,9/10/13,9/16/13,Nigeria,"178,192",News,Torrential rain,0,300,1.5,6.3
4085,,8/18/13,8/21/13,China,"93,532",News,Monsoonal Rain,80,0,1.5,5.7
4086,,8/15/13,8/21/13,China,"98,183",News,Tropical Storm Utor,40,0,1.5,6
4084,,8/13/13,8/21/13,Philippines,"50,412",News,Monsoonal Rain and Offshore Tropica,8,280000,2,6
4082,,8/7/13,8/21/13,Pakistan,"462,763",News,Monsoon Rain began with ReportNumber=4078,70,12000,1.5,7
4083,,8/7/13,10/14/13,"China,Russian Federation","1,430,156",News,Heavy rain,100,260000,2,8.3
4076,,8/5/13,8/7/13,Kenya,"9,047",News,Heavy rain,0,5000,1,4.4
4080,,8/5/13,8/7/13,United States of America,"123,143",News,Torrential rain,2,100,1.5,5.7
4077,,8/1/13,8/21/13,Sudan,"1,004,639",News,Heavy rain,11,100000,1.5,7.5
4078,,8/1/13,8/7/13,"Pakistan,Afghanistan","549,425",News,Heavy rain,135,81000,1.5,6.8
4079,,8/1/13,8/7/13,"Russian Federation,China","102,479",News,Heavy rain,0,1500,2,6.2
4081,,7/25/13,8/7/13,"Myanmar,Thailand","125,251",News,Heavy rain,1,34000,1.5,6.4
4072,,7/13/13,7/15/13,China,"101,851",News,Tropical Storm Sulik,1,300000,1.5,5.7
4073,,7/11/13,7/15/13,China,"112,221",News,Torrential rain,0,8,1.5,5.9
4074,,7/10/13,7/15/13,Democratic People&#039;s Republic of Korea,"21,695",News,Heavy rain,2,760,1,5.1
4071,,7/5/13,7/15/13,China,"419,827",News,Heavy rain,200,100000,1.5,6.8
4075,,7/4/13,7/15/13,Paraguay,"131,223",News,Heavy rain,0,52000,1.5,6.4
4069,,6/23/13,7/15/13,India,"38,019",News,Monsoonal Rain,80,2000000,2,6.2
4070,,6/23/13,6/27/13,Lao People&#039;s Democratic Republic,"32,197",News,Monsoonal Rain,0,0,1,5.2
4068,,6/20/13,6/27/13,Canada,"307,926",News,Heavy rain,3,100000,2,6.7
4066,,6/15/13,6/18/13,New Zealand,"42,497",News,Heavy rain,0,0,1.5,5.4
4065,,6/12/13,6/27/13,India,"131,743",News,Monsoonal Rain,5748,75000,1.5,6.5
4067,,6/11/13,6/18/13,India,"152,701",News,Monsoonal Rain,0,8000,1,6.1
4063,,5/28/13,6/18/13,"Germany,Czechia","241,204",News,Heavy rain,8,3000,2,7
4059,,5/26/13,5/28/13,Colombia,"125,895",News,Torrential rain,0,0,1,5.6
4060,,5/25/13,5/28/13,United States of America,"33,908",News,Heavy rain,3,300,2,5.4
4061,,5/25/13,6/3/13,United States of America,"123,500",News,Heavy rain,0,400,1,6.1
4064,,5/25/13,6/3/13,United States of America,"170,079",News,Torrential rain,5,0,1.5,6.4
4062,,5/22/13,5/28/13,Norway,"28,072",News,Heavy rain,0,500,1.5,5.5
4056,2013-TC-000060-MMR and BGD,5/14/13,5/16/13,"Bangladesh,Myanmar","72,848",News,Tropical Storm Mahasen,19,1166000,1.5,5.5
4058,2013-TC-000060-LKA,5/13/13,5/16/13,Sri Lanka,"17,254",News,Tropical Storm Mahasen,7,115000,1,4.8
4057,,5/12/13,5/28/13,China,"84,762",News,Monsoonal Rain,55,10000,1.5,6.3
4053,,5/6/13,5/16/13,Russian Federation,"630,162",News,Ice jam/break-up,0,390,1,6.8
4054,,5/6/13,5/16/13,Indonesia,"17,153",News,Torrential rain,0,3000,1,5.3
4055,,5/1/13,5/16/13,Somalia,"243,476",News,Heavy rain,7,50000,2,6.9
4051,,4/27/13,4/29/13,"United States of America,Canada","43,181",News,Heavy rain,0,0,1,5.1
4049,,4/25/13,5/16/13,"Saudi Arabia,Oman","814,307",News,Heavy rain,0,0,1,7.3
4052,,4/23/13,4/29/13,Afghanistan,"14,653",News,Torrential rain,13,300,1,5
4050,,4/22/13,4/29/13,United States of America,"493,137",News,Heavy rain,5,300,1.5,6.8
4048,,4/5/13,4/29/13,Somalia,"27,293",News,Heavy rain,0,4000,1,5.8
4046,,4/1/13,4/7/13,Argentina,"18,135",News,Torrential rain,59,3000,2,5.4
4042,,3/31/13,4/3/13,Spain,"53,241",News,Torrential rain,2,300,1.5,5.5
4045,,3/31/13,4/3/13,Mauritius,"1,680",News,Torrential rain,11,0,1.5,4
4043,,3/28/13,4/29/13,"Kenya,Uganda","73,170",News,Heavy rain,63,18633,1.5,6.6
4044,,3/25/13,4/3/13,South Sudan,"215,663",News,Heavy rain,0,12000,1.5,6.5
4047,,3/15/13,4/12/13,Albania,"3,305",News,Heavy rain,0,2800,1,5
4040,,3/14/13,3/17/13,Portugal,"2,986",News,Heavy rain,0,30,1,4.1
4038,,3/13/13,3/17/13,Spain,"12,282",News,Heavy rain,0,200,1,4.8
4041,,3/10/13,3/17/13,"Peru,Bolivia (Plurinational State of)","740,438",News,Heavy rain,0,3000,1.5,6.9
4039,,3/9/13,3/17/13,France,"5,910",News,Heavy rain,1,1200,1,4.7
4037,,3/1/13,3/17/13,Namibia,"100,905",News,Heavy rain,0,10000,1,6.2
4034,,2/25/13,3/4/13,Australia,"240,506",News,Monsoonal Rain by Tropical Storm Rust,2,200,1,6.3
4035,,2/25/13,3/4/13,Thailand,"9,340",News,Heavy rain,0,130,1,4.9
4036,,2/25/13,3/4/13,North Macedonia,"3,700",News,Heavy rain,1,1200,1,4.5
4031,,2/20/13,3/4/13,Russian Federation,"2,432",News,Torrential rain,4,1500,1,4.5
4032,,2/20/13,3/4/13,Indonesia,"4,202",News,Heavy rain,0,1000,1.5,4.9
4029,,2/16/13,2/18/13,Indonesia,"21,654",News,Heavy rain,0,3452,1,4.8
4030,,2/16/13,2/18/13,Indonesia,"28,874",News,Heavy rain,17,0,1,4.9
4033,,2/10/13,3/4/13,Malaysia,"30,584",News,HeavyRain,0,5167,1,5.8
4027,,2/8/13,2/12/13,"Peru,Bolivia (Plurinational State of)","577,783",News,Heavy rain,31,2400,2,6.8
4025,FL-2013-000012-SYC,1/27/13,2/1/13,Seychelles,452,News,Torrential rain,0,106,1.5,3.6
4024,,1/22/13,2/1/13,Australia,"1,021,219",News,Tropical Storm Oswald,6,8000,1.5,7.2
4023,,1/17/13,3/4/13,"Mozambique,Zimbabwe","83,155",News,Heavy rain,135,170000,1.5,6.8
4026,Fl-2013-000014-BWA,1/15/13,2/1/13,"Botswana,South Africa","198,590",News,Heavy rain,0,400,1.5,6.7
4020,FL-2013-000006-IDN,1/13/13,1/22/13,Indonesia,"1,746",News,Monsoonal Rain,32,46000,2,4.5
4022,,1/13/13,1/17/13,Kenya,"71,113",News,Heavy rain,20,400,1,5.6
4018,,1/8/13,1/17/13,Sri Lanka,"26,063",News,Heavy rain,52,56747,1.5,5.6
4019,,1/8/13,1/10/13,"State of Palestine,Syrian Arab Republic","29,143",News,Heavy rain,2,1600,1.5,5.1
4012,,1/6/13,1/10/13,Russian Federation,"5,668",News,Torrential rain,4,1500,1.5,4.6
4016,,1/4/13,1/10/13,Philippines,"51,782",News,Heavy rain,0,3180,1,5.6
4017,,1/4/13,1/10/13,Peru,"318,649",News,Torrential rain,0,2000,1.5,6.5
4013,,1/3/13,1/10/13,Indonesia,"67,600",News,Heavy rain,8,1000,1,5.7
4014,,1/3/13,1/10/13,Malaysia,"29,318",News,Torrential rain,0,600,1,5.4
4015,,1/3/13,1/10/13,Philippines,"6,144",News,Tropical Storm Auring,0,520,1,4.7
4010,,12/16/12,12/18/12,Sri Lanka,"49,085",News,Heavy rain,9,6000,1.5,5.3
4011,,12/11/12,12/13/12,South Africa,"21,011",News,Heavy rain,3,10,1,4.8
4005,,12/4/12,12/4/12,Philippines,"68,024",News,Tropical Storm Bopha,74,60000,2,5.1
4006,,12/2/12,12/4/12,Türkiye,"15,307",News,Torrential rain,1,0,1,4.7
4008,,12/1/12,12/4/12,Malaysia,"31,979",News,Torrential rain,0,150,1,5.1
4028,FL-2013-000017-PNG,12/1/12,2/12/13,Papua New Guinea,"245,462",News,Heavy rain,0,500,1,7.3
4007,,11/20/12,12/4/12,Argentina,"377,213",News,Heavy rain,6,10000,1.5,6.9
4009,,11/20/12,12/18/12,United Kingdom of Great Britain and Northern Ireland,"106,807",News,Heavy rain,4,1700,1,6.5
4021,,11/15/12,1/22/13,Malawi,"20,096",News,Heavy rain,3,3000,1,6.1
4003,,11/13/12,11/18/12,Spain,"12,227",News,Torrential rain,0,120,1,4.9
4004,,11/11/12,11/18/12,Italy,"66,843",News,Torrential rain,4,500,1.5,5.9
4001,,11/4/12,11/8/12,India,"126,083",News,Tropical Storm Nilam,40,70000,2,6.1
4002,,11/4/12,11/8/12,Malaysia,"55,785",News,Heavy rain,0,4000,1,5.4
3998,,10/25/12,10/29/12,Canada,"1,592",News,Heavy rain,0,700,1.5,4.1
3997,TC-2012-000180-CUB; TC-2012-000180-,10/24/12,10/29/12,"United States of America,Haiti","293,995",News,,65,0,2,6.5
3999,,10/24/12,10/29/12,South Africa,"14,489",News,Heavy rain,12,0,1.5,5.1
4000,TC-2012-000181-VNM;TC-2012-000179-P,10/24/12,10/29/12,"Viet Nam,Philippines","158,124",News,Tropical Storm Son-Tinh,30,260000,2,6.3
3993,,10/12/12,10/15/12,Iran (Islamic Republic of),"11,490",News,Torrential rain,7,1000,1.5,4.8
3996,,10/9/12,10/15/12,Russian Federation,"10,482",News,Torrential rain,7,1120,1.5,5
3990,,9/23/12,9/26/12,United Kingdom of Great Britain and Northern Ireland,"8,507",News,Heavy rain,0,1500,1,4.5
3992,,9/22/12,10/3/12,Somalia,"13,754",News,Heavy rain,6,12200,1.5,5.4
3989,,9/20/12,9/26/12,United States of America,"8,846",News,Heavy rain,0,2000,1,4.8
3987,,9/19/12,10/15/12,India,"42,598",News,Monsoonal Rain,21,2000000,2,6.4
3983,,9/16/12,9/18/12,India,"37,711",News,Torrential rain,45,200,2,5.4
3988,,9/15/12,10/29/12,Nigeria,"12,538",News,Heavy rain,148,64000,2,6.1
3994,,9/15/12,10/15/12,Niger,"121,036",News,Heavy rain,91,0,1,6.6
3995,,9/15/12,10/15/12,Chad,"86,062",News,Heavy rain,0,17000,1,6.4
3985,,9/12/12,9/26/12,Thailand,"44,011",News,Monsoonal Rain,0,3000,1,5.8
3984,,9/10/12,10/29/12,Pakistan,"23,036",News,Monsoonal Rain,400,742000,1.5,6.2
3986,,9/9/12,9/18/12,China,"56,960",News,Heavy rain,7,0,1.5,5.9
3991,,9/7/12,10/3/12,"South Sudan,Sudan","138,744",News,Heavy rain,15,3000,1,6.6
3978,FL-2012-000161-VNM,9/2/12,9/7/12,Viet Nam,"16,826",News,Torrential rain,6,5000,1,5
3982,,9/2/12,9/7/12,Gambia,"4,747",News,Heavy rain,0,41,1,4.5
3977,,8/28/12,9/7/12,United States of America,"83,938",News,,1,60000,1.5,6.1
3973,TC-2012-000152-HTI,8/25/12,8/29/12,Haiti,"4,904",News,Tropical Storm Isaac,19,15000,1.5,4.6
3975,,8/25/12,8/29/12,China,"45,131",News,Torrential rain,6,30,1.5,5.5
3976,,8/25/12,9/26/12,"Nigeria,Cameroon","96,831",News,Heavy rain,127,20000,1.5,6.7
3971,,8/24/12,8/29/12,Senegal,"79,243",News,Torrential rain,4,1200,1.5,5.9
3972,,8/24/12,8/29/12,Nigeria,"48,923",News,Torrential rain,10,20000,1.5,5.6
3974,FF-2012-000148-PAK,8/23/12,8/29/12,Pakistan,"98,264",News,Monsoonal Rain,26,1200,1.5,6
3980,,8/20/12,9/7/12,Uganda,"57,981",News,Heavy rain,0,15000,1,6
3979,TC-2012-000159-PRK,8/17/12,9/7/12,"Democratic People&#039;s Republic of Korea,Republic of Korea","24,179",News,Tropical Storms,59,24000,1.5,5.9
3966,,8/16/12,8/20/12,India,"29,690",News,Monsoonal Rain,1,210,1,5.2
3981,,8/15/12,9/7/12,Kenya,"18,460",News,Heavy rain,0,3000,1,5.6
3965,,8/14/12,8/20/12,China,"107,984",News,Monsoonal Rain,13,14600,1,5.9
3969,FL-000139-JPN,8/12/12,8/20/12,Japan,"10,670",News,Torrential rain,3,1000,1.5,5.2
3967,,8/6/12,9/7/12,Niger,"75,977",News,Heavy rain,52,125000,1.5,6.6
3959,,8/4/12,8/6/12,India,"31,391",News,Torrential rain,30,1200,1.5,5.2
3961,,8/4/12,8/6/12,Sudan,"89,290",News,Torrential rain,5,800,1.5,5.6
3962,,8/4/12,8/6/12,United Kingdom of Great Britain and Northern Ireland,"4,261",News,Torrential rain,0,0,1,4.1
3960,,8/3/12,8/6/12,India,"35,690",News,Monsoonal Rain,0,2000,1,5.2
3963,,8/3/12,8/6/12,China,"9,560",News,Typhoons  Damrey and Saola,2,800000,2,4.9
3964,,8/2/12,8/6/12,Nigeria,"16,652",News,Torrential rain,0,3000,1.5,5.1
3968,FL-2012-000150-SDN,8/1/12,8/29/12,"South Sudan,Sudan","456,059",News,Heavy rain,32,154000,1.5,7.3
3956,,7/28/12,8/6/12,Philippines,"59,723",News,Tropical Storm Saola,3,13000,1.5,6
3957,,7/28/12,7/30/12,Costa Rica,"20,821",News,Heavy rain,1,1500,1,4.8
3958,,7/25/12,7/30/12,China,"100,601",News,Heavy rain,0,40000,1.5,6
3954,,7/22/12,7/25/12,Nigeria,"45,292",News,Heavy rain,50,2000,1.5,5.4
3950,,7/21/12,7/25/12,China,"29,832",News,Torrential rain,77,0,2,5.5
3953,,7/21/12,7/23/12,Philippines,"9,577",News,Monoonal Rain,8,0,1.5,4.6
3952,,7/20/12,7/23/12,Indonesia,"8,219",News,Torrential rain,0,586,1,4.5
3955,,7/20/12,8/6/12,Democratic People&#039;s Republic of Korea,"33,082",News,Heavy rain,169,63000,2,6.1
3951,FF-2012-000120-GEO,7/19/12,7/23/12,Georgia,"19,591",News,Torrential rain,0,0,1,5
3970,,7/15/12,8/29/12,Myanmar,"219,815",News,Monsoonal Rain,0,85000,1,7
3948,,7/13/12,7/16/12,United States of America,"24,531",News,Torrential rain,0,100,1.5,5.2
3949,,7/9/12,7/25/12,China,"92,141",News,Monsoonal Rain,58,140000,1.5,6.4
3946,,7/8/12,7/9/12,Republic of Moldova,"9,903",News,Heavy rain,0,400,1.5,4.5
3943,FF-2012-000115-RUS,7/6/12,7/16/12,Russian Federation,"18,552",News,Torrential rain,171,24000,2,5.6
3945,,7/4/12,7/23/12,India,"2,639",News,Monsoonal Rain,9,1500,1,4.7
3947,FL-2012-000114-JPN,7/4/12,7/16/12,Japan,"7,923",News,Heavy rain,28,3000,2,5.3
3944,,7/3/12,7/9/12,Türkiye,"6,085",News,Torrential rain,10,0,1.5,4.8
3939,,6/24/12,7/2/12,Bangladesh,"9,560",News,Monsoonal Rain,106,102000,1.5,5.1
3941,,6/23/12,6/26/12,Afghanistan,"71,505",News,Torrential rain,0,24,1.5,5.6
3938,,6/22/12,7/2/12,United States of America,"67,995",News,,3,17000,2,6.2
3942,,6/22/12,7/2/12,China,"2,643,787",News,Monsoonal Rain,50,120000,1.5,7.6
3940,,6/20/12,6/26/12,Canada,"213,387",News,Heavy rain,1,700,1.5,6.4
3936,,6/9/12,6/12/12,Taiwan (Province of China),"18,941",News,Torrential rain,4,3000,1.5,5.1
3937,,6/9/12,6/12/12,United States of America,"20,117",News,Torrential rain,1,300,1.5,5.1
3935,,6/8/12,6/12/12,Philippines,"23,516",News,Heavy rain,1,700,1,5.1
3933,,6/6/12,6/12/12,Canada,"673,741",News,Heavy rain,0,0,1,6.7
3934,,6/6/12,7/16/12,India,"29,190",News,Monsoonal Rain,109,400000,1.5,6.3
3932,FL-2012-000083-HND,5/22/12,5/29/12,Honduras,"6,519",News,Heavy rain,0,500,1,4.7
3930,,5/20/12,5/29/12,Uganda,"43,316",News,Heavy rain,0,3000,1,5.6
3931,,5/20/12,5/29/12,Russian Federation,"22,717",News,Heavy rain,0,1000,1.5,5.5
3927,,5/13/12,5/16/12,United Republic of Tanzania,"45,092",News,Heavy rain,0,300,1,5.3
3928,FF-2012-000079-GEO,5/12/12,5/16/12,Georgia,"15,849",News,Torrential rain,5,1400,1,4.9
3929,,5/12/12,5/16/12,Afghanistan,"14,163",News,Torrential rain,20,0,1,4.9
3926,,5/8/12,5/16/12,China,"1,056,108",News,Heavy rain,53,185000,1.5,7.2
3923,FL-2012-000071-NPL,5/5/12,5/7/12,Nepal,"4,395",News,Avalance Breach,17,0,2,4.4
3924,,5/1/12,5/7/12,Afghanistan,"21,755",News,Torrential rain,26,0,1.5,5.4
3925,,5/1/12,5/7/12,Brazil,"127,883",News,Heavy rain,0,3000,2,6.3
3921,,4/20/12,5/16/12,Kenya,"12,660",News,Torrential rain,56,0,1.5,5.7
3922,,4/20/12,4/26/12,Colombia,"74,036",News,Heavy rain,17,56000,1.5,5.9
3920,,4/14/12,4/18/12,"Saudi Arabia,Oman","233,126",News,Torrential rain,19,0,1.5,6.2
3917,,4/9/12,4/26/12,Kenya,"117,773",News,Heavy rain,0,50,1,6.3
3918,,4/9/12,4/18/12,Rwanda,"43,618",News,Heavy rain,2,300,1,5.6
3915,,4/8/12,4/26/12,"Haiti,Dominican Republic","35,152",News,Heavy rain,9,11000,1.5,6
3916,FL-2012-000063-RUS,4/8/12,4/26/12,Russian Federation,"681,013",News,Snowmelt,0,2600,1,7.1
3919,FL-2012-000056-PRY,4/5/12,4/26/12,"Paraguay,Argentina","120,345",News,Torrential rain,2,5000,1.5,6.6
3912,,3/29/12,4/18/12,Fiji,"5,580",News,Heavy rain,6,14000,2,5.4
3914,,3/26/12,3/30/12,Philippines,"5,046",News,Torrential rain,4,0,1,4.4
3913,,3/25/12,3/30/12,Canada,"5,441",News,Snowmelt,0,500,1.5,4.7
3905,,3/4/12,3/7/12,United States of America,"2,046",News,Heavy rain,0,83,1.5,4.1
3906,FL-2012-000037-PSE,3/4/12,3/7/12,State of Palestine,594,News,Heavy rain,0,1200,1,3.4
3907,,3/4/12,3/7/12,Indonesia,"4,597",News,Torrential rain,5,0,1,4.3
3909,,3/3/12,3/7/12,"Madagascar,Mozambique","566,734",News,Tropical Storm Irina,65,0,1.5,6.6
3908,,3/1/12,3/7/12,United Republic of Tanzania,"6,852",News,Heavy rain,10,0,1,4.7
3910,,3/1/12,3/26/12,Ecuador,"39,793",News,Heavy rain,10,4700,1.5,6.2
3911,,3/1/12,3/15/12,Chile,"88,871",News,Heavy rain,0,1000,1.5,6.3
3904,,2/25/12,2/27/12,Tunisia,"41,624",News,Torrential rain,3,1000,1.5,5.3
3900,,2/20/12,2/27/12,Philippines,"39,825",News,Torrential rain,0,25000,1,5.5
3901,,2/20/12,2/27/12,"Nigeria,Cameroon","50,438",News,Heavy rain,5,300,1,5.6
3902,,2/20/12,2/27/12,Indonesia,"194,383",News,Torrential rain,0,1200,1,6.2
3903,FL-2012-000032-BOL,2/20/12,3/26/12,"Brazil,Bolivia (Plurinational State of)","172,064",News,Heavy rain,3,89000,2,7.1
3898,,2/12/12,2/14/12,Philippines,870,News,Heavy rain,0,13327,1.5,3.6
3899,,2/12/12,2/14/12,Indonesia,"12,054",News,Torrential rain,0,6800,1,4.6
3897,,2/3/12,2/6/12,Greece,"9,251",News,Torrential rain,1,200,1,4.6
3896,FL-2012-000019-BGR,2/1/12,2/6/12,Bulgaria,"47,137",News,Dam Break Snowmelt Heavy Rain,5,1000,1.5,5.6
3895,,1/27/12,1/29/12,Indonesia,"7,754",News,Torrential rain,6,3000,1.5,4.5
3893,,1/22/12,2/6/12,Fiji,"4,928",News,Heavy rain,8,3500,1.5,5.1
3894,,1/22/12,3/7/12,Australia,"761,154",News,Monsoonal Rain,2,13000,2,7.8
3892,FL-2012-000017-MWI,1/17/12,2/14/12,"Mozambique,South Africa","269,446",News,Tropical Storms Dando and Funso,37,100000,1.5,7.1
3889,,1/1/12,1/9/12,Thailand,"11,666",News,Torrential rain,0,1000,1,5
3890,FL-2012-000003-BRA,1/1/12,1/9/12,Brazil,"416,575",News,Heavy rain,8,14000,1,6.6
3886,,12/20/11,12/22/11,United Republic of Tanzania,"5,901",News,Heavy rain,13,0,2,4.5
3888,,12/18/11,1/4/12,Indonesia,"2,457",News,Torrential rain,10,54,1,4.6
3885,,12/17/11,12/22/11,Malaysia,"20,022",News,Torrential rain,0,3265,1,5.1
